2025-11-12T21:11:38.350Z - debug:  [21116] Using TFS proxy: 
2025-11-12T21:11:38.350Z - debug:  [21116] TFVC Retrieved from settings; localPath='C:\TEE\TEE-CLC-14.114.0\tf.cmd'
2025-11-12T21:11:38.353Z - debug:  [21116] TFVC Repository created with repositoryRootFolder='c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app'
2025-11-12T21:11:38.355Z - debug:  [21116] TFVC Repository.CheckVersion
2025-11-12T21:11:38.357Z - debug:  [21116] TFVC: tf add -noprompt -?
2025-11-12T21:11:38.361Z - error:  [21116] spawn EINVAL
2025-11-13T13:11:20.202Z - info:   [16456] *** FOLDER: c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app ***
2025-11-13T13:11:20.204Z - info:   [16456] AzureReposVSCode/1.161.0 (VSCode 1.105.1; Windows_NT 10.0.26200; Node 22.19.0)
2025-11-13T13:11:20.204Z - debug:  [16456] Looking for an External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-13T13:11:20.205Z - debug:  [16456] No External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-13T13:11:20.208Z - debug:  [16456] Looking for TFVC repository at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-13T13:11:20.209Z - debug:  [16456] TFVC Creating Tfvc object with localPath='undefined'
2025-11-13T13:11:20.212Z - debug:  [16456] Using TFS proxy: 
2025-11-13T13:11:20.212Z - debug:  [16456] TFVC Retrieved from settings; localPath='C:\TEE\TEE-CLC-14.114.0\tf.cmd'
2025-11-13T13:11:20.221Z - debug:  [16456] TFVC Repository created with repositoryRootFolder='c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app'
2025-11-13T13:11:20.223Z - debug:  [16456] TFVC Repository.CheckVersion
2025-11-13T13:11:20.225Z - debug:  [16456] TFVC: tf add -noprompt -?
2025-11-13T13:11:20.227Z - error:  [16456] spawn EINVAL
